,City,County,State,Full Address,Latitude,Longitude,Country,FIPS,,,,,,,NUMBER OF ARTICLES
Vashon-Maury Island Beachcomber,Vashon,King ,WA,Vashon King  WA ,47.4473204,-122.4598502,USA,,Weekly,Yes,Newspaper,English,3/28/2008,Full Text,1
"Vidette, The",Montesano,Grays Harbor,WA,Montesano Grays Harbor WA ,46.9794895,-123.6008405,USA,,Weekly,Yes,Newspaper,English,8/23/2007,Full Text,1
Walla Walla Union-Bulletin,Walla Walla,WALLA WALLA,WA,Walla Walla WALLA WALLA WA ,46.0645809,-118.3430209,USA,,Daily,No,Newspaper,English,11/10/2008,Full Text,0
"Waterland Blog, The",Des Moines,King,WA,Des Moines King WA ,47.4017661,-122.3242902,USA,,Daily,Yes,Web-Only Source,English,1/3/2012,Full Text,0
Wenatchee Business Journal,Wenatchee,"Chelan, Douglas",WA,"Wenatchee Chelan, Douglas WA ",47.4234599,-120.3103494,USA,,Monthly,Yes,Journal,English,8/15/2009,Full Text,0
Wenatchee Valley Business World,Wenatchee,"Chelan, Douglas",WA,"Wenatchee Chelan, Douglas WA ",47.4234599,-120.3103494,USA,,Monthly,Yes,Magazine,English,7/5/2013,Full Text,0
"Wenatchee World, The",Wenatchee,"Chelan, Douglas",WA,"Wenatchee Chelan, Douglas WA ",47.4234599,-120.3103494,USA,,Daily,Yes,Newspaper,English,1/27/1992,Full Text,21
Whidbey Crosswind,Whidbey Island Naval Base,Island,WA,Whidbey Island Naval Base Island WA ,48.3451754,-122.6695813,USA,,Monthly,Yes,Newspaper,English,3/31/2011,Full Text,0
Whidbey News-Times,Coupeville,Island,WA,Coupeville Island WA ,48.2198208,-122.6862804,USA,,Weekly,Yes,Newspaper,English,9/22/1999,Full Text,0
White Center Blog,Seattle,King,WA,Seattle King WA ,47.5983889,-122.3299086,USA,,Daily,Yes,Web-Only Source,English,8/16/2019,Full Text,0
White Salmon Enterprise,White Salmon,KLICKITAT,WA,White Salmon KLICKITAT WA ,45.7277747,-121.4866994,USA,,Weekly,Yes,Newspaper,English,3/30/2001,Full Text,0
Wine Press Northwest,Kennewick,BENTON,WA,Kennewick BENTON WA ,46.2086683,-119.119948,USA,,Quarterly,Yes,Magazine,English,9/14/2018,Full Text,0
Wine Press Northwest [TCA],Kennewick,BENTON,WA,Kennewick BENTON WA ,46.2086683,-119.119948,USA,,Quarterly,Yes,Journal,English,1/14/2008,Full Text,0
Yakima Examiner,Yakima,Yakima,WA,Yakima Yakima WA ,46.6022299,-120.5060955,USA,,Monthly,Yes,Web-Only Source,English,10/03/2009,Full Text,0
Yakima Herald-Republic,Yakima,Yakima,WA,Yakima Yakima WA ,46.6022299,-120.5060955,USA,,Daily,No,Newspaper,English,12/10/1997,Full Text,148
OR,,,,   ,   ,   ,,,,,,,,,
Albany Democrat-Herald,Albany,Linn,OR,Albany Linn OR ,44.6365107,-123.1059282,USA,,Daily,No,Newspaper: Image Edition,English,9/22/2025,Full Text,0
Albany Democrat-Herald,Albany,Linn,OR,Albany Linn OR ,44.6365107,-123.1059282,USA,,Daily,Yes,Newspaper,English,7/11/1999,Full Text,2
Albany Tribune,Albany,Linn,OR,Albany Linn OR ,44.6365107,-123.1059282,USA,,Daily,No,Web-Only Source,English,10/21/2013,Full Text,0
Argus Observer,Ontario,Malheur,OR,Ontario Malheur OR ,44.0265525,-116.9629378,USA,,Daily,Yes,Newspaper,English,9/28/1998,Full Text,0
"Ashland Tidings, The",Ashland,Jackson,OR,Ashland Jackson OR ,43.8041334,-120.5542012,USA,,Daily,Yes,Newspaper,English,1/2/2004,Full Text,1
Associated Press State Wire: Oregon,,,OR,  OR ,45.515232,-122.6783853,USA,,Daily,No,Newswire,English,12/31/2010,Full Text,6
Associated Press: Salem Metro Area,Salem,Marion,OR,Salem Marion OR ,44.9362411,-123.0407496,USA,,Bi-Weekly,No,Newswire,English,1/10/1998,Full Text,0
"Astorian, The",Astoria,Clatsop,OR,Astoria Clatsop OR ,46.1878841,-123.8312534,USA,,Weekly,Yes,Newspaper,English,5/28/2002,Full Text,2
"Baker City Herald, The",Baker City,Baker,OR,Baker City Baker OR ,44.7748748,-117.8343848,USA,,Daily,Yes,Newspaper,English,1/1/2001,Full Text,0
Bandon Western World,Bandon,Coos,OR,Bandon Coos OR ,43.1189978,-124.408448,USA,,Weekly,Yes,Newspaper,English,3/23/2012,Full Text,0
Beaverton Valley Times,Beaverton,Washington,OR,Beaverton Washington OR ,45.4869283,-122.804032,USA,,Weekly,Yes,Newspaper,English,6/14/2006,Full Text,1
"Bee, The",Portland,Multnomah,OR,Portland Multnomah OR ,45.515232,-122.6783853,USA,,Monthly,Yes,Newspaper,English,6/26/2006,Full Text,0
Bend Examiner,Bend,Deschutes,OR,Bend Deschutes OR ,44.0581728,-121.3153096,USA,,Bi-Annual,Yes,Web-Only Source,English,11/23/2009,Full Text,0
Blue Mountain Eagle,John Day,Grant,OR,John Day Grant OR ,44.4159883,-118.95301,USA,,Weekly,Yes,Newspaper,English,8/1/2002,Full Text,0
Boom! Boomers & Beyond,Portland,Multnomah,OR,Portland Multnomah OR ,45.515232,-122.6783853,USA,,Monthly,Yes,Magazine,English,7/5/2006,Full Text,0
"Broadside, The: Central Oregon Community College",Bend,Deschutes,OR,Bend Deschutes OR ,44.0581728,-121.3153096,USA,,Weekly,Yes,College/University Newspaper,English,05/11/2011,Full Text,0
"Bulletin, The",Bend,Deschutes,OR,Bend Deschutes OR ,44.0581728,-121.3153096,USA,,Daily,Yes,Newspaper,English,7/1/2005,Full Text,3
"Bulletin, The",Bend,Deschutes,OR,Bend Deschutes OR ,44.0581728,-121.3153096,USA,,Daily,Yes,Newspaper: Image Edition,English,7/1/2024,Full Text,1
Canby Herald,Canby,CLACKAMAS,OR,Canby CLACKAMAS OR ,45.262692,-122.6957402,USA,,Weekly,Yes,Newspaper,English,7/5/2006,Full Text,0
Cannon Beach Gazette,Cannon Beach,Clatsop,OR,Cannon Beach Clatsop OR ,45.8917738,-123.9615274,USA,,Bi-Weekly,Yes,Newspaper,English,7/26/2007,Full Text,0
Capital Press,Salem,Marion,OR,Salem Marion OR ,44.9362411,-123.0407496,USA,,Weekly,Yes,Newspaper,English,8/7/2002,Full Text,0
"Center Square Oregon, The",,,OR,  OR ,45.515232,-122.6783853,USA,,Weekly,Yes,Web-Only Source,English,5/1/2017,Full Text,0
Central Oregonian,Prineville,CROOK,OR,Prineville CROOK OR ,44.2998485,-120.8344664,USA,,Weekly,Yes,Newspaper,English,2/1/2001,Full Text,0
"Chemeketa Courier, The",Salem,"Marion, Polk",OR,"Salem Marion, Polk OR ",44.9362411,-123.0407496,USA,,Weekly,Yes,College/University Newspaper,English,1/18/2008,Full Text,0
"Clackamas Print, The: Clackamas Community College",Oregon City,Clackamas,OR,Oregon City Clackamas OR ,45.3556099,-122.605853,USA,,Weekly,Yes,College/University Newspaper,English,02/29/2012,Full Text,0
Coast River Business Journal,,"Clatsop, Wahkiakum, Tillamook, Pacific",OR," Clatsop, Wahkiakum, Tillamook, Pacific OR ",45.4562158,-123.8440137,USA,,Monthly,Yes,Journal,English,4/14/2006,Full Text,0
Coast Weekend,Astoria,Clatsop,OR,Astoria Clatsop OR ,46.1878841,-123.8312534,USA,,Weekly,Yes,Newspaper,English,10/3/2014,Full Text,0
Columbia Gorge News,,,OR,  OR ,45.515232,-122.6783853,USA,,Weekly,Yes,Newspaper,English,4/8/2020,Full Text,5
"Commuter, The: Linn-Benton Community College",Albany,Linn,OR,Albany Linn OR ,44.6365107,-123.1059282,USA,,Weekly,Yes,College/University Newspaper,English,09/10/2012,Full Text,0
Corvallis Gazette-Times,Corvallis,BENTON,OR,Corvallis BENTON OR ,44.5646356,-123.2619607,USA,,Daily,Yes,Newspaper,English,7/11/1999,Full Text,2
Corvallis Gazette-Times: Blogs,Corvallis,BENTON,OR,Corvallis BENTON OR ,44.5646356,-123.2619607,USA,,Monthly,Yes,Blog,English,7/11/2007,Full Text,0
"Cottage Grove Sentinel, The",Cottage Grove,,OR,Cottage Grove  OR ,43.7972473,-123.0590635,USA,,Weekly,Yes,Newspaper,English,8/22/2022,Full Text,0
Curry Coastal Pilot,Brookings,Curry,OR,Brookings Curry OR ,42.0526114,-124.2839819,USA,,Weekly,Yes,Newspaper,English,9/9/2000,Full Text,3
"Daily Barometer, The: Oregon State University",Corvallis,Benton,OR,Corvallis Benton OR ,44.5646356,-123.2619607,USA,,Daily,No,College/University Newspaper,English,01/15/2013,Full Text,1
Daily Emerald: University of Oregon,Eugene,Lane,OR,Eugene Lane OR ,44.03,123.07,USA,,Daily,No,Web-Only Source,English,06/07/2009,Full Text,1
Daily Journal of Commerce,Portland,Multnomah,OR,Portland Multnomah OR ,45.515232,-122.6783853,USA,,Daily,No,Journal,English,3/1/2001,Full Text,0
"Dalles Chronicle, The",The Dalles,Wasco,OR,The Dalles Wasco OR ,45.6017716,-121.1848433,USA,,Weekly,Yes,Newspaper,English,1/4/2005,Full Text,0
Earthfix,Portland,Multnomah,OR,Portland Multnomah OR ,45.515232,-122.6783853,USA,,Daily,Yes,Web-Only Source,English,6/12/2011,Full Text,0
East Oregonian,Pendleton,Umatilla,OR,Pendleton Umatilla OR ,45.9165323,-119.2782602,USA,,Daily,Yes,Newspaper,English,7/29/2002,Full Text,14
Estacada News,Estacada,Clackamas,OR,Estacada Clackamas OR ,45.2877198,-122.3351638,USA,,Weekly,Yes,Newspaper,English,6/27/2006,Full Text,0
Eugene Examiner,Eugene,Lane,OR,Eugene Lane OR ,44.03,123.07,USA,,Weekly,Yes,Web-Only Source,English,06/29/2009,Full Text,0
Forest Grove Leader,Forest Grove,WASHINGTON,OR,Forest Grove WASHINGTON OR ,45.5196767,-123.1121017,USA,,Weekly,Yes,Newspaper,English,1/11/2010,Full Text,0
Forest Grove News Times,Forest Grove,Washington,OR,Forest Grove Washington OR ,45.5196767,-123.1121017,USA,,Weekly,Yes,Newspaper,English,6/20/2006,Full Text,1
GO! Eastern Oregon,Pendleton,Umatilla,OR,Pendleton Umatilla OR ,45.9165323,-119.2782602,USA,,Weekly,Yes,Magazine,English,7/27/2020,Full Text,0
Herald and News,Klamath Falls,Klamath,OR,Klamath Falls Klamath OR ,42.224867,-121.7816704,USA,,Daily,Yes,Newspaper: Image Edition,English,4/9/2025,Full Text,0
Herald and News,Klamath Falls,Klamath,OR,Klamath Falls Klamath OR ,42.224867,-121.7816704,USA,,Daily,Yes,Newspaper,English,11/29/2000,Full Text,4
"Hermiston Herald, The",Hermiston,UMATILLA,OR,Hermiston UMATILLA OR ,45.8404101,-119.2894605,USA,,Weekly,Yes,Newspaper,English,2/28/2001,Full Text,0
Hillsboro Argus,Hillsboro,WASHINGTON,OR,Hillsboro WASHINGTON OR ,45.5201237,-122.9913341,USA,,Weekly,Yes,Newspaper,English,12/28/2010,Full Text,0
Hillsboro Tribune,Hillsboro,Washington,OR,Hillsboro Washington OR ,45.5201237,-122.9913341,USA,,Weekly,Yes,Newspaper,English,7/5/2006,Full Text,0
Hilltop News,Salem,"Marion, Polk",OR,"Salem Marion, Polk OR ",44.9362411,-123.0407496,USA,,Bi-Weekly,Yes,College/University Newspaper,English,9/18/2008,Full Text,0
Hood River News,Hood River,HOOD RIVER,OR,Hood River HOOD RIVER OR ,45.708857,-121.5122706,USA,,Weekly,Yes,Newspaper,English,8/8/2001,Full Text,0
Keizertimes,Keizer,Marion,OR,Keizer Marion OR ,44.9901194,-123.0262077,USA,,Weekly,Yes,Newspaper,English,6/14/2000,Full Text,0
Lake County Examiner,Lakeview,LAKE,OR,Lakeview LAKE OR ,43.8041334,-120.5542012,USA,,Weekly,Yes,Newspaper,English,11/4/2010,Full Text,0
Lake Oswego Review,Lake Oswego,Clackamas,OR,Lake Oswego Clackamas OR ,45.4192504,-122.6629863,USA,,Weekly,Yes,Newspaper,English,6/21/2006,Full Text,0
Lebanon Express,Lebanon,Linn,OR,Lebanon Linn OR ,44.5365119,-122.9070339,USA,,Weekly,Yes,Newspaper,English,8/6/2003,Full Text,0
Lincoln County Leader,Newport,Lincoln,OR,Newport Lincoln OR ,44.6367836,-124.0534505,USA,,Weekly,Yes,Newspaper,English,4/26/2010,Full Text,0
"Linfield Review, The: Linfield University",McMinnville,Yamhill,OR,McMinnville Yamhill OR ,45.2107513,-123.1944874,USA,,Weekly,No,College/University Newspaper,English,01/09/2008,Full Text,0
Madras Pioneer,Madras,JEFFERSON,OR,Madras JEFFERSON OR ,44.6334544,-121.1294872,USA,,Weekly,Yes,Newspaper,English,10/22/2001,Full Text,1
Mail Tribune,Medford,Jackson,OR,Medford Jackson OR ,42.3230112,-122.8767396,USA,,Daily,Yes,Newspaper,English,2/18/2015,Full Text,0
Medford Examiner,Medford,Jackson,OR,Medford Jackson OR ,42.3230112,-122.8767396,USA,,Weekly,Yes,Web-Only Source,English,07/06/2009,Full Text,0
Milwaukie Review,Milwaukie,Clackamas,OR,Milwaukie Clackamas OR ,45.4426186,-122.6398398,USA,,Weekly,Yes,Newspaper,English,6/20/2006,Full Text,0
Molalla Pioneer,Molalla,CLACKAMAS,OR,Molalla CLACKAMAS OR ,45.1475439,-122.5771264,USA,,Weekly,Yes,Newspaper,English,7/5/2006,Full Text,0
NBC - 8 KGW,Portland,MULTNOMAH,OR,Portland MULTNOMAH OR ,45.515232,-122.6783853,USA,,Daily,Yes,Web-Only Source,English,8/12/2009,Full Text,3
Newberg Graphic,Newberg,YAMHILL,OR,Newberg YAMHILL OR ,45.3003268,-122.9761318,USA,,Weekly,Yes,Newspaper,English,7/5/2006,Full Text,0
News-Register,McMinnville,YAMHILL,OR,McMinnville YAMHILL OR ,45.2107513,-123.1944874,USA,,Weekly,Yes,Newspaper,English,1/1/1999,Full Text,0
North Coast Citizen,Manzanita,Tillamook,OR,Manzanita Tillamook OR ,45.7184398,-123.9351354,USA,,Bi-Weekly,Yes,Newspaper,English,8/18/2025,Full Text,0
"Observer, The",La Grande,UNION,OR,La Grande UNION OR ,45.3245771,-118.0877188,USA,,Daily,Yes,Newspaper,English,2/26/2001,Full Text,3
Oregon Capital Insider,Pendleton,Umatilla,OR,Pendleton Umatilla OR ,45.9165323,-119.2782602,USA,,Weekly,Yes,Newsletter,English,10/20/2016,Full Text,1
Oregon Coast Today,Lincoln City,Lincoln,OR,Lincoln City Lincoln OR ,44.9620902,-124.0159354,USA,,Weekly,Yes,Newspaper,English,11/22/2013,Full Text,0
"Oregonian, The",Portland,Multnomah,OR,Portland Multnomah OR ,45.515232,-122.6783853,USA,,Daily,Yes,Newspaper: Image Edition,English,1/1/2019,Full Text,5
"Oregonian, The",Portland,Multnomah,OR,Portland Multnomah OR ,45.515232,-122.6783853,USA,,Daily,Yes,Newspaper,English,9/1/1987,Full Text,3
"Oregonian, The: Blogs",Portland,Multnomah,OR,Portland Multnomah OR ,45.515232,-122.6783853,USA,,Weekly,Yes,Blog,English,1/24/2005,Full Text,0
"Oregonian, The: Web Edition Articles",Portland,Multnomah,OR,Portland Multnomah OR ,45.515232,-122.6783853,USA,,Daily,Yes,Web-Only Source,English,10/14/2012,Full Text,5
"Other Oregon, The",Salem,Marion,OR,Salem Marion OR ,44.9362411,-123.0407496,USA,,Quarterly,Yes,Magazine,English,9/28/2018,Full Text,0
"Outlook, The",Gresham,Multnomah,OR,Gresham Multnomah OR ,45.5044715,-122.4356657,USA,,Weekly,Yes,Newspaper,English,6/16/2006,Full Text,0
"Pacific Index, The: Pacific University",Forest Grove,Washington,OR,Forest Grove Washington OR ,45.5196767,-123.1121017,USA,,Bi-Weekly,No,College/University Newspaper,English,10/20/2010,Full Text,1
"Philomath Express, The",Philomath,Benton,OR,Philomath Benton OR ,44.540121,-123.3676014,USA,,Weekly,Yes,Newspaper,English,12/17/2014,Full Text,0
Polk County Itemizer-Observer,Dallas,Polk,OR,Dallas Polk OR ,44.9192844,-123.3170472,USA,,Weekly,Yes,Newspaper,English,8/16/2000,Full Text,0
Portland Examiner,Portland,Multnomah,OR,Portland Multnomah OR ,45.515232,-122.6783853,USA,,Daily,Yes,Web-Only Source,English,11/03/2008,Full Text,0
Portland Tribune,Portland,Multnomah,OR,Portland Multnomah OR ,45.515232,-122.6783853,USA,,Weekly,Yes,Newspaper,English,12/31/2001,Full Text,0
"Redmond Spokesman, The",Redmond,King,OR,Redmond King OR ,43.8041334,-120.5542012,USA,,Weekly,Yes,Newspaper,English,1/10/2007,Selected Full Text,0
Regal Courier,Tigard,Washington,OR,Tigard Washington OR ,45.4269289,-122.7783874,USA,,Monthly,Yes,Newspaper,English,6/25/2006,Full Text,0
"Register-Guard, The",Eugene,Lane,OR,Eugene Lane OR ,44.03,123.07,USA,,Daily,Yes,Newspaper: Image Edition,English,1/1/2019,Full Text,0
"Register-Guard, The",Eugene,Lane,OR,Eugene Lane OR ,44.03,123.07,USA,,Daily,Yes,Newspaper,English,11/14/2001,Full Text,1
Rogue Valley Times,Medford,Jackson,OR,Medford Jackson OR ,42.3230112,-122.8767396,USA,,Weekly,Yes,Newspaper,English,1/13/2023,Full Text,1
Salem Business Journal,Salem,"Marion, Polk",OR,"Salem Marion, Polk OR ",44.9362411,-123.0407496,USA,,Monthly,Yes,Journal,English,7/1/2009,Full Text,0
Salem Weekly,Salem,Marion,OR,Salem Marion OR ,44.9362411,-123.0407496,USA,,Weekly,Yes,Journal,English,7/31/2005,Full Text,0
Salem-News.com,Salem,"Marion, Polk",OR,"Salem Marion, Polk OR ",44.9362411,-123.0407496,USA,,Bi-Monthly,Yes,Web-Only Source,English,1/3/2006,Full Text,0
Sandy Post,Sandy,Clackamas,OR,Sandy Clackamas OR ,45.3973141,-122.2630704,USA,,Weekly,Yes,Newspaper,English,6/27/2006,Full Text,0
Seaside Signal,Seaside,Clatsop,OR,Seaside Clatsop OR ,45.9931636,-123.9226385,USA,,Bi-Weekly,Yes,Newspaper,English,5/4/2006,Full Text,0
Sherwood Gazette,Sherwood,Washington,OR,Sherwood Washington OR ,45.3569341,-122.8410659,USA,,Monthly,Yes,Newspaper,English,6/27/2006,Full Text,0
Siuslaw News,Florence,,OR,Florence  OR ,43.9826214,-124.0998409,USA,,Weekly,Yes,Newspaper,English,8/22/2022,Full Text,0
"South County Spotlight, The",Scappoose,Columbia,OR,Scappoose Columbia OR ,45.7577015,-122.8780677,USA,,Weekly,Yes,Newspaper,English,7/5/2006,Full Text,0
"Southwest Community Connection, The",Lake Oswego,Clackamas,OR,Lake Oswego Clackamas OR ,45.4192504,-122.6629863,USA,,Monthly,Yes,Newspaper,English,6/30/2006,Full Text,0
Tigard-Tualatin-Sherwood Times,Tigard,Washington,OR,Tigard Washington OR ,45.4269289,-122.7783874,USA,,Weekly,Yes,Newspaper,English,6/21/2006,Full Text,1
Tillamook Headlight-Herald,Tillamook,Tillamook,OR,Tillamook Tillamook OR ,45.4562158,-123.8440137,USA,,Weekly,Yes,Newspaper,English,5/1/2002,Full Text,4
"Umpqua Post, The",Reedsport,Douglas,OR,Reedsport Douglas OR ,43.7023389,-124.0967779,USA,,Weekly,Yes,Newspaper,English,2/9/2012,Full Text,1
Wallowa County Chieftain,Enterprise,Wallowa,OR,Enterprise Wallowa OR ,45.4262617,-117.2787815,USA,,Weekly,Yes,Newspaper,English,6/12/2002,Full Text,0
West Linn Tidings,Lake Oswego,Clackamas,OR,Lake Oswego Clackamas OR ,45.4192504,-122.6629863,USA,,Weekly,Yes,Newspaper,English,6/14/2006,Full Text,0
Western Oregon Journal: Western Oregon University,Monmouth,Polk,OR,Monmouth Polk OR ,44.8484524,-123.2339888,USA,,Weekly,No,College/University Newspaper,English,02/14/2012,Full Text,0
Wilsonville Spokesman,Wilsonville,CLACKAMAS,OR,Wilsonville CLACKAMAS OR ,45.3029344,-122.7726687,USA,,Weekly,Yes,Newspaper,English,7/5/2006,Full Text,0
Woodburn Independent,Woodburn,MARION,OR,Woodburn MARION OR ,45.143731,-122.8553725,USA,,Weekly,Yes,Newspaper,English,7/5/2006,Full Text,0
"World, The",Coos Bay,Coos,OR,Coos Bay Coos OR ,43.3672213,-124.2131325,USA,,Daily,Yes,Newspaper,English,3/22/2004,Full Text,0
ID,,,,   ,   ,   ,,,,,,,,,
Associated Press State Wire: Idaho,,,ID,  ID ,43.6150186,-116.2023137,USA,,Bi-Weekly,No,Newswire,English,12/31/2010,Full Text,1
Bingham County Chronicle ,Blackfoot,Bingham,ID,Blackfoot Bingham ID ,43.1904709,-112.3449773,USA,,Daily,Yes,Newspaper,English,3/5/2019,Full Text,0
Boise Examiner,Boise,Ada,ID,Boise Ada ID ,43.6150186,-116.2023137,USA,,Daily,Yes,Web-Only Source,English,07/28/2008,Full Text,0
Boise Weekly,Boise,Ada,ID,Boise Ada ID ,43.6150186,-116.2023137,USA,,Weekly,Yes,Newspaper,English,4/7/2004,Full Text,0
BoiseDev,Boise,Ada,ID,Boise Ada ID ,43.6150186,-116.2023137,USA,,Daily,Yes,Web-Only Source,English,2/4/2019,Full Text,0
Bonner County Daily Bee,Sandpoint,BONNER,ID,Sandpoint BONNER ID ,48.276577,-116.553465,USA,,Daily,Yes,Newspaper,English,3/2/2004,Full Text,0
Bonners Ferry Herald,Bonners Ferry,Boundary,ID,Bonners Ferry Boundary ID ,48.6913257,-116.3163092,USA,,Weekly,Yes,Newspaper,English,10/5/2006,Full Text,0
Challis Messenger,Challis,Custer,ID,Challis Custer ID ,44.5046445,-114.2317308,USA,,Weekly,Yes,Newspaper,English,3/10/2005,Full Text,0
"Coeur d'Alene Press, The",Coeur d'Alene,Kootenai,ID,Coeur d'Alene Kootenai ID ,47.6734632,-116.7812225,USA,,Daily,Yes,Newspaper,English,9/30/2003,Full Text,1
"Idaho Argonaut, The: University of Idaho",Moscow,Latah,ID,Moscow Latah ID ,46.7323875,-117.0001651,USA,,Weekly,No,College/University Newspaper,English,8/4/2013,Full Text,0
Idaho Business Review,Boise,ADA,ID,Boise ADA ID ,43.6150186,-116.2023137,USA,,Weekly,No,Journal,English,3/5/2001,Full Text,0
Idaho Education News,,,ID,  ID ,43.6150186,-116.2023137,USA,,Monthly,Yes,Web-Only Source,English,12/3/2012,Full Text,0
Idaho Falls Examiner,Idaho Falls,Bonneville,ID,Idaho Falls Bonneville ID ,43.4926602,-112.0407506,USA,,Weekly,Yes,Web-Only Source,English,12/22/2009,Full Text,0
Idaho Press,Nampa,Canyon,ID,Nampa Canyon ID ,43.5788175,-116.55978,USA,,Daily,Yes,Newspaper,English,3/1/1999,Full Text,6
Idaho Press,Nampa,Canyon,ID,Nampa Canyon ID ,43.5788175,-116.55978,USA,,Daily,Yes,Newspaper: Image Edition,English,6/1/2023,Full Text,3
Idaho Press: Blogs,Nampa,Canyon,ID,Nampa Canyon ID ,43.5788175,-116.55978,USA,,Monthly,Yes,Blog,English,2/28/2007,Full Text,0
Idaho Spokesman-Review,Coeur d'Alene,Kootenai,ID,Coeur d'Alene Kootenai ID ,47.6734632,-116.7812225,USA,,Daily,Yes,Newspaper,English,7/1/1994,Full Text,0
Idaho State Journal,Pocatello,Bannock,ID,Pocatello Bannock ID ,42.8621042,-112.4506191,USA,,Daily,Yes,Newspaper: Image Edition,English,2/4/2025,Full Text,0
Idaho State Journal,Pocatello,Bannock,ID,Pocatello Bannock ID ,42.8621042,-112.4506191,USA,,Daily,Yes,Newspaper,English,2/18/2000,Full Text,3
Idaho State Journal: Blogs,Pocatello,Bannock,ID,Pocatello Bannock ID ,42.8621042,-112.4506191,USA,,Daily,Yes,Blog,English,2/6/2006,Full Text,0
"Idaho Statesman Today's Edition, The",Boise,Ada,ID,Boise Ada ID ,43.6150186,-116.2023137,USA,,Daily,Yes,Newspaper: Image Edition,English,6/2/2024,Full Text,1
"Idaho Statesman, The",Boise,Ada,ID,Boise Ada ID ,43.6150186,-116.2023137,USA,,Weekly,Yes,Newspaper: Image Edition,English,1/1/2019,Full Text,25
"Idaho Statesman, The",Boise,Ada,ID,Boise Ada ID ,43.6150186,-116.2023137,USA,,Weekly,Yes,Newspaper,English,1/1/1999,Full Text,5
"Idaho Statesman, The: Blogs",Boise,Ada,ID,Boise Ada ID ,43.6150186,-116.2023137,USA,,Weekly,Yes,Blog,English,8/3/2007,Full Text,0
"Idaho Statesman, The: Video",Boise,Ada,ID,Boise Ada ID ,43.6150186,-116.2023137,USA,,Daily,Yes,Video,English,6/14/2023,Full Video Feed,0
"Idaho Statesman, The: Video Transcripts",Boise,Ada,ID,Boise Ada ID ,43.6150186,-116.2023137,USA,,Daily,Yes,Transcript,English,1/17/2019,Full Text,0
Independent Enterprise,Payette,Payette,ID,Payette Payette ID ,44.0782195,-116.9337711,USA,,Weekly,Yes,Newspaper,English,5/16/2007,Full Text,0
Inland 360,Lewiston,Nez Perce,ID,Lewiston Nez Perce ID ,46.4040971,-117.0019991,USA,,Weekly,Yes,Newspaper,English,1/19/2012,Full Text,3
"ISU Bengal, The: Idaho State University",Pocatello,"Bannock, Bingham",ID,"Pocatello Bannock, Bingham ID ",42.8621042,-112.4506191,USA,,Weekly,Yes,College/University Newspaper,English,6/27/2012,Full Text,0
"Jefferson Star, The",Rigby,Jefferson,ID,Rigby Jefferson ID ,43.6724119,-111.9149681,USA,,Weekly,Yes,Newspaper,English,7/25/2012,Full Text,1
Kuna Melba News,Kuna,Ada,ID,Kuna Ada ID ,43.29,116.22,USA,,Weekly,Yes,Newspaper,English,4/10/2013,Full Text,0
Lewiston Tribune,Lewiston,Nez Perce,ID,Lewiston Nez Perce ID ,46.4040971,-117.0019991,USA,,Daily,Yes,Newspaper,English,12/1/1989,Full Text,24
Lewiston Tribune,Lewiston,Nez Perce,ID,Lewiston Nez Perce ID ,46.4040971,-117.0019991,USA,,Daily,Yes,Newspaper: Image Edition,English,1/1/2019,Full Text,40
Lewiston Tribune: Blogs,Lewiston,Nez Perce,ID,Lewiston Nez Perce ID ,46.4040971,-117.0019991,USA,,Weekly,Yes,Blog,English,6/14/2011,Full Text,0
Meridian Examiner,Meridian,Ada,ID,Meridian Ada ID ,43.36,116.23,USA,,Bi-Monthly,Yes,Web-Only Source,English,12/23/2009,Full Text,0
Meridian Press,Meridian,Ada,ID,Meridian Ada ID ,43.36,116.23,USA,,Weekly,Yes,Newspaper,English,1/25/2013,Full Text,0
Meridian-Kuna Press,"Kuna, Meridian",Ada,ID,"Kuna, Meridian Ada ID ",43.4137349,-116.3939156,USA,,Weekly,Yes,Newspaper,English,11/4/2023,Full Text,0
Messenger-Index,Emmett,GEM,ID,Emmett GEM ID ,43.8734978,-116.4993012,USA,,Weekly,Yes,Newspaper,English,1/8/2008,Full Text,0
"Morning News, The",Blackfoot,BINGHAM,ID,Blackfoot BINGHAM ID ,43.1904709,-112.3449773,USA,,Daily,Yes,Newspaper,English,9/1/2008,Full Text,1
"Moscow-Pullman Daily News, The",Moscow,LATAH,ID,Moscow LATAH ID ,46.7323875,-117.0001651,USA,,Weekly,Yes,Newspaper: Image Edition,English,1/1/2019,Full Text,13
"Moscow-Pullman Daily News, The",Moscow,LATAH,ID,Moscow LATAH ID ,46.7323875,-117.0001651,USA,,Weekly,Yes,Newspaper,English,1/1/1998,Full Text,6
NBC - 7 KTVB,Boise,Ada,ID,Boise Ada ID ,43.6150186,-116.2023137,USA,,Daily,Yes,Web-Only Source,English,8/12/2009,Full Text,3
"News-Examiner, The",Montpelier,Bear Lake,ID,Montpelier Bear Lake ID ,42.3221498,-111.2977044,USA,,Weekly,Yes,Newspaper,English,11/11/2009,Full Text,0
North Idaho Business Journal,Coeur d'Alene,Kootenai,ID,Coeur d'Alene Kootenai ID ,47.6734632,-116.7812225,USA,,Monthly,Yes,Magazine,English,10/20/2018,Full Text,0
